title,author,length
78. He Who Fights with Monsters 3,"By: Shirtaloon, Travis Deverell",Length: 24 hrs and 39 mins
79. The Girls in the Garden,By: Lisa Jewell,Length: 9 hrs and 21 mins
80. The Surrender Experiment,By: Michael A. Singer,Length: 7 hrs and 46 mins
81. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
82. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
83. Getting to Neutral,"By: Trevor Moawad, Andy Staples",Length: 6 hrs and 18 mins
84. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
85. The Princess Diarist,By: Carrie Fisher,Length: 5 hrs and 10 mins
86. Atlas of the Heart,By: Brené Brown,Length: 8 hrs and 29 mins
87. Operation Paperclip,By: Annie Jacobsen,Length: 19 hrs and 26 mins
88. The Witching Hour,By: Anne Rice,Length: 50 hrs and 1 min
89. Paper Ghosts,By: Julia Heaberlin,Length: 10 hrs and 2 mins
90. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
91. Drama Free,By: Nedra Glover Tawwab,Length: 7 hrs and 36 mins
92. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
93. Go Tell the Bees That I Am Gone,By: Diana Gabaldon,Length: 49 hrs and 27 mins
94. The Boys from Biloxi,By: John Grisham,Length: 17 hrs and 22 mins
95. Stain,By: Neven Iliev,Length: 16 hrs and 33 mins
96. The Alchemist,By: Paulo Coelho,Length: 4 hrs
"97. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
98. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
99. The Bell Jar,By: Sylvia Plath,Length: 7 hrs and 24 mins
100. Agent in Place,By: Mark Greaney,Length: 16 hrs and 26 mins
